Aeginetia
Lycium ferrocissimum
Digitaria abyssinica
Digitaria scalarum
Pennisetum macrourum
Alectra
Drymaria arenarioides
Limnophila sessiliflora
Phellodendron amurense
Lonicera maackii
Eichhornia azurea
Avena sterilis
Prosopis strombulifera
Sagittaria sagittifolia
Leptochloa chinensis
Celastrus orbiculatus
Elaeagnus umbellata
Lonicera x bella
Commelina benghalensis
Aegopodium podagraria
Robinia pseudoacacia
Cynanchum louiseae
Ligustrum obtusifolium
Spermacoce alata
Imperata brasiliensis
Egeria densa
Elodea densa
Anacharis densa
Najas minor
Lepidium latifolium
Oryza rufipogon
Euonymus alatus
Cardamine impatiens
Homeria
Moraea
Cabomba caroliniana
Mimosa pigra
Setaria pallidifusca
Setaria pallidefusca
Setaria pumila
Caulerpa taxifolia
Tridax procumbens
Tussilago farfara
Berberis vulgaris
Rhamnus cathartica
Crupina vulgaris
Phragmites australis
Ranunculus repens
Lysimachia nummularia
Potamogeton crispus
Ageratina adenophora
Euphorbia cyparissias
Hesperis matronalis
Emex spinosa
Ottelia alismoides
Myriophyllum spicatum
Frangula alnus
Rhamnus frangula
Sparganium erectum
Butomus umbellatus
Myosotis scorpioides
Alliaria petiolata
Mimosa diplotricha
Mimosa invisa
Heracleum mantegazzianum
Salvinia auriculata
Salvinia molesta
Salvinia biloba
Salvinia herzogii
Galega officinalis
Salix cinerea
Festuca filiformis
Arthraxon hispidus
Epilobium hirsutum
Glaucium flavum
Hydrilla verticillata
Rottboellia cochinchinensis
Berberis thunbergii
Pinus thunbergii
Lonicera japonica
Humulus japonicus
Fallopia japonica
Polygonum cuspidatum
Reynoutria japonica
Carex kobomugi
Microstegium vimineum
Opuntia aurantiaca
Prosopis pallida
Pennisetum clandestinum
Paspalum scrobiculatum
Pueraria montana
Pennisetum pedicellatum
Salix atrocinerea
Salix cinerea
Euphorbia esula
Ranunculus ficaria
Ficaria verna
Urochloa panicoides
Oryza longistaminata
Melastoma malabathricum
Melaleuca quinquenervia
Polygonum perfoliatum
Persicaria perfoliata
Mikania micrantha
Mikania cordata
Hygrophila polysperma
Pennisetum polystachyon
Pennisetum polystachion
Monochoria hastata
Lonicera morrowii
Azolla pinnata
Rosa multiflora
Ischaemum rugosum
Acer platanoides
Asphodelus fistulosus
Lagarosiphon major
Cynanchum rossicum
Myriophyllum aquaticum
Monochoria vaginalis
Chrysopogon aciculatus
Miscanthus sacchariflorus
Ampelopsis brevipedunculata
Lythrum salicaria
Oryza punctata
Phalaris arundinacea
Cytisus scoparius
Nassella trichotoma
Alternanthera sessilis
Centaurea biebersteinii
Centaurea stoebe
Acer pseudoplatanus
Glyceria maxima
Senecio jacobaea
Lonicera tatarica
Emex australis
Prosopis reptans
Ailanthus altissima
Solanum viarum
Solanum torvum
Myriophyllum heterophyllum
Digitaria velutina
Prosopis velutina
Rorippa amphibia
Trapa natans
Ipomoea aquatica
Eragrostis curvula
Solanum tampicense
Rubus fruticosus
Rubus moluccanus
Anthriscus sylvestris
Carthamus oxyacanthus
Carthamus oxycantha
Saccharum spontaneum
Rubus phoenicolasius
Striga
Salsola vermiculata
Nymphoides peltata
Iris pseudacorus
